oreder_shipping_Id,Order_id,Shipping_address_id,Full_address,State,City,Zip_code
1,1,855,"34135 Shaffer Knolls
Wheelerstad, MO 54975",Alaska,Taylorport,93406
2,2,1264,"8289 Jeff Mission Suite 123
Lake Cindy, CO 45042",Georgia,Andrewport,54849
3,3,491,"162 Diana Parks
East Brittany, NE 95193",Nebraska,New Maryberg,25929
4,4,258,"4361 Cochran Flats
Coreyville, LA 29609",Colorado,New Aaron,6961
5,5,781,"36244 Nicole Tunnel
Port Stephaniestad, CA 58776",Maryland,Port Geraldfort,98413
6,6,1219,"55312 Durham Extensions
Lake Michaelton, NE 18928",Mississippi,Arroyoton,39306
7,7,962,"21743 Daniel Ranch
West Melissa, AL 90277",Wisconsin,Andersonside,83441
8,8,1014,"0087 Cynthia Meadow Apt. 157
North Johnshire, OK 61176",Tennessee,South Gloria,92949
9,9,750,"006 Turner Lodge Suite 340
Lake Johnstad, ID 02636",North Carolina,East Richardshire,48390
10,10,51,"9781 Michelle Throughway Suite 401
Bakerborough, IL 01050",Wisconsin,Port Jaimeport,85731
11,11,749,"673 Phillips Ranch Suite 416
North Edward, ME 74498",Nevada,Lake Patrickville,96664
12,12,353,"044 Steven Tunnel Suite 859
North Travisstad, NJ 61925",Vermont,North Richardstad,9934
13,13,603,"1421 Dawson Curve
Greenechester, CO 22691",West Virginia,Lake Margaret,29192
14,14,139,"02892 Webb Parkway
Figueroahaven, IA 18846",Virginia,Reedville,63157
15,15,925,"5921 James Plain Apt. 344
New Dianaburgh, MA 42232",Illinois,West Charleschester,51040
16,16,1417,"6603 Crawford Landing Suite 652
Karenborough, OH 73980",Illinois,West Emma,85538
17,17,704,"695 Perry Fields Suite 561
South Michelefurt, ID 77567",West Virginia,Port Kimberlyhaven,52297
18,18,1170,"84206 Clark Isle
North Stephanieland, UT 94234",New York,Lake Amyfurt,79817
19,19,509,"21855 Williams Throughway Suite 836
North Timothyfurt, AZ 81193",New Hampshire,Turnerstad,76928
20,20,61,"08990 William Meadows
Lake Mollyberg, PA 14276",New York,Johnsonhaven,79267
21,21,1334,"PSC 7660, Box 3528
APO AE 24722",Utah,Michaelport,31113
22,22,259,"388 Delgado Ville Apt. 938
North Tiffanyside, TX 69083",Louisiana,Deanhaven,61676
23,23,1267,"26935 Brooks Turnpike
Adamshaven, VT 55004",Utah,West Claudia,34651
24,24,1438,"7918 Diana Landing Apt. 165
North Shannon, CT 70655",Connecticut,Mitchellborough,43507
25,25,479,"0397 Hart Dale Apt. 517
Port Meghanstad, SC 19132",New Mexico,Carolyntown,51673
26,26,985,"8330 Lori Lakes Apt. 647
Johnsonshire, VA 59445",California,Alvinbury,75095
27,27,1446,"069 Cook Fork Suite 628
South Williamside, KS 91262",Maine,Alisonmouth,29630
28,28,60,"4786 Wade Ferry
New Katelynville, KS 03988",Oklahoma,Prestonburgh,72045
29,29,178,"906 Cunningham Garden Apt. 509
Stoutland, UT 56178",Michigan,Smithmouth,8285
30,30,640,"042 Sarah Fords
Lake Thomasburgh, SD 26281",Hawaii,Port Megan,55351
31,31,1459,"5256 Karen Bridge
Jasonland, CO 03037",Arizona,South Kendratown,81529
32,32,542,"08958 White Forks Apt. 890
Jenniferside, ND 15592",Wyoming,Kingstad,95111
33,33,85,"2969 Mark Route Apt. 993
South Timothy, CA 44521",South Dakota,New Jennifer,37072
34,34,813,"9713 Tiffany Mills Suite 490
West Joseph, WV 95298",Kentucky,Wilsonton,74737
35,35,106,"9732 Maria Village Suite 846
Richardfort, DE 55848",New York,North Carla,35326
36,36,71,"129 Weber Ford Apt. 372
Avilaborough, WY 33916",South Carolina,Allenville,98649
37,37,848,"1606 Dorsey Glens Apt. 174
Christopherhaven, RI 69087",Florida,New Christinaland,68549
38,38,1122,"727 Shawn Stravenue Suite 829
Port Robert, KY 68202",Oregon,Penastad,82608
39,39,631,"21950 Jesse Square
New Kellyview, NH 26673",Tennessee,New Sarachester,65674
40,40,1163,"25173 Mcdonald Run
Lake Amyville, MS 69707",Washington,Lake Nicholashaven,2102
41,41,725,"52519 Kennedy Roads Apt. 149
Gibsontown, DE 04679",Colorado,Port Paul,16637
42,42,770,"06143 Kim Inlet
Pagefort, NJ 17750",Wyoming,Valenzuelaside,35569
43,43,196,"4101 Boone Viaduct Apt. 647
Parksmouth, SD 52477",Washington,South Jesus,63663
44,44,1097,"881 Brown Ramp
Lake Marktown, VA 88077",Idaho,Lake Jennifer,16112
45,45,855,"6327 Williams Forge Apt. 651
Lake Matthew, ND 93907",Alaska,Lake Craigbury,83549
46,46,1088,"90600 Green Ports
Cordovaborough, LA 89274",Alabama,North Julieberg,82565
47,47,474,"901 Julian Stream Suite 650
Lake Rhonda, PA 36683",Utah,Thorntonbury,26683
48,48,229,"92408 Susan Isle Suite 701
Lake Jodyhaven, AL 92244",Kentucky,Hollyhaven,66377
49,49,769,"195 Yang Estates Apt. 138
South Donaldside, IN 83734",Wyoming,South Garyland,28752
50,50,1205,"PSC 6993, Box 8823
APO AA 64218",Massachusetts,Fergusonland,81091
51,51,1085,"USCGC Jones
FPO AA 17900",Pennsylvania,Lake Meghanhaven,25589
52,52,1068,"66761 Collins Passage
East Melanie, TX 06463",Florida,Martinview,97452
53,53,403,"621 Lewis Crossroad Suite 825
Allenshire, NE 31304",Colorado,Richardport,87431
54,54,1083,"39739 Campos Oval
North Lisa, MO 91634",Oregon,Lake Saratown,38233
55,55,637,"5800 Moore Road Apt. 198
Lake Karen, AL 63033",Michigan,Jayhaven,63656
56,56,704,"49173 Phelps Lake
Meghanshire, GA 97765",Oklahoma,North Andre,45792
57,57,1438,"85607 Patrick Villages
Rebeccastad, ME 87425",Idaho,Lake Kevinport,71865
58,58,417,"57421 Dean Summit
Zavalaview, MN 01341",Iowa,Roblesland,55460
59,59,820,"81288 Jessica Avenue
Allenport, LA 50600",Tennessee,East Ian,52409
60,60,57,"13461 Jason Fall Apt. 372
New Tammy, PA 79623",Wisconsin,Robinsonville,64381
61,61,270,"7610 Garcia Lakes
North Ana, OR 25612",South Dakota,North Michaelborough,69636
62,62,1019,"79496 Ramos Stravenue
Schmittberg, CO 24732",Texas,South Jamesberg,18554
63,63,1032,"0270 Elliott Loaf
Christopherhaven, MT 92219",Maine,New Marymouth,94163
64,64,340,"0158 Davis Inlet
Jadebury, WV 15109",Virginia,Lindafort,35779
65,65,1371,"107 Cameron Key
New Elizabeth, DE 74887",Hawaii,Johnton,24468
66,66,732,"PSC 3373, Box 4035
APO AA 44462",Michigan,East Erin,24125
67,67,1250,"210 Jason Village
Josephville, WY 81943",New York,South Robert,62191
68,68,831,"6945 Salinas Green Suite 440
New Robertbury, VA 19484",New Mexico,East Markstad,24501
69,69,406,"1412 Moore Mills Apt. 214
Carrolltown, TN 03886",Alabama,Lisaville,47089
70,70,1058,"141 Norris Oval Apt. 155
Pottsview, CT 84604",Maine,New Miranda,40858
71,71,200,"50062 Adams Junction
Cynthiaton, MT 23918",Connecticut,New James,87226
72,72,1310,"7787 Cameron Mountains Apt. 046
Lake Annette, VA 02565",Tennessee,Sarahstad,58557
73,73,310,"1595 Jennifer Unions
Changbury, MT 35969",Alabama,Jamesberg,59335
74,74,641,"6264 Keith Mountain Suite 888
New Heather, IL 08783",North Dakota,South Stevenbury,4062
75,75,1432,"956 Grant Skyway
Robinsonfurt, NE 44283",New Jersey,Port Stevenfort,96573
76,76,1047,"1931 Carrie Flats Suite 199
Monicaport, HI 10772",Michigan,Hoffmanton,33911
77,77,564,"8191 Ashley Spur
New Davidborough, NJ 76895",Montana,Sarahland,18481
78,78,1276,"75012 Ronald Landing Apt. 699
North Tiffany, OR 37797",Delaware,Medinahaven,34416
79,79,149,"5945 Campos Flats Suite 890
Lake Lori, NY 50908",Delaware,Mistymouth,86816
80,80,1167,"0693 Maynard Ferry Apt. 927
South Jacob, OK 13353",Illinois,Port Dawn,9453
81,81,1016,"064 George Hills
New Tyler, OH 79253",Tennessee,North Reginaldshire,27562
82,82,1353,"30889 Thompson Streets
Port Gabrielport, GA 46880",Mississippi,South Sarahbury,34333
83,83,120,"4040 Kelly Village
Parksberg, OH 38647",Nebraska,North Rebeccamouth,47521
84,84,1229,"4130 Adams Run
Port Kimberly, DC 33437",New Mexico,Phamfort,24299
85,85,1180,"PSC 0392, Box 1586
APO AA 70435",Virginia,Richardsonville,72133
86,86,737,"637 Kristen Extension
Wileyhaven, NC 32563",Vermont,South Nathanhaven,26839
87,87,606,"67283 Williams Coves
Patelview, NC 99247",Utah,Steveburgh,98844
88,88,351,"2269 Steven Lane
Gomezmouth, IA 70792",Massachusetts,Lake Rachelberg,43451
89,89,318,"851 Soto Green
Baileyville, IN 21445",Oregon,New Thomas,49063
90,90,155,"7658 Cheryl Flats Apt. 260
East Heatherchester, NE 80695",Utah,Keithstad,28766
91,91,622,"9141 Jackson Haven Suite 419
Port Kathryn, CO 31426",Minnesota,Port Richard,28763
92,92,298,"5237 Johnson Meadow Suite 523
Yatestown, AL 68511",Ohio,Warnerton,46785
93,93,1453,"43555 Jones Tunnel
Youngland, TN 11941",Vermont,South Craigberg,24184
94,94,563,"63066 Garner Passage Apt. 958
North Alex, NJ 75859",Nevada,Stevenfort,47389
95,95,437,"757 Jesse Landing
West Charles, NJ 71683",Kentucky,East John,83078
96,96,1433,"5869 William Lodge
Woodsberg, VT 57635",South Carolina,West Tammymouth,62012
97,97,44,"4540 Allen Village Suite 930
Lake Amy, IL 52258",Kansas,New Sandy,93360
98,98,152,"105 Rachel Isle
Andersonmouth, VT 88583",Wisconsin,Timothyside,43478
99,99,1035,"93235 Mikayla Crest
East Michaelchester, MN 05958",Florida,Arnoldberg,99501
100,100,684,"818 Judith Mountains Apt. 115
North Sydneyborough, MI 69470",Pennsylvania,South Kenneth,57878
101,101,226,"USNS Sanders
FPO AP 93393",Minnesota,Kellyberg,18285
102,102,1470,"897 Townsend Ville
Thomasberg, IA 39192",Georgia,South Gwendolyn,45181
103,103,583,"941 Wade Harbors Suite 874
East Leslietown, SC 64467",Massachusetts,Veleztown,48604
104,104,1002,"1398 Grant Mountains
Laurenmouth, PA 55260",Iowa,Phillipsstad,68850
105,105,1283,"790 Anthony Run
East Jamesborough, OR 21821",Utah,West Jose,77804
106,106,940,"5696 Henderson Place Apt. 230
Robertton, NY 22163",Oklahoma,Port Jillian,92218
107,107,1286,"0574 Sanchez Ramp
Randyburgh, MA 96237",Wisconsin,Harrisland,65548
108,108,403,"6261 Anthony Mountains
Castanedaburgh, CA 70098",Florida,Wilsonfurt,29287
109,109,1266,"40765 Ferrell Island Suite 452
West Josephshire, VA 13042",Arkansas,Alexanderbury,52885
110,110,227,"552 Deanna Lock Suite 640
Nelsonbury, NC 45259",Kentucky,Sandratown,68754
111,111,700,"718 Kim Circle Suite 125
Port Amberfurt, CT 97714",Tennessee,Mistymouth,54765
112,112,1320,"72704 Douglas Fort Suite 153
East Allison, HI 51192",New York,New Brittanystad,88410
113,113,1089,"154 Michael Forest Apt. 277
West Samantha, NC 36606",Louisiana,Lake Nicole,18596
114,114,638,"Unit 9998 Box 1129
DPO AP 81996",Alaska,Benjamintown,74266
115,115,459,"656 Hensley Circles
West Josephport, NJ 23800",Nebraska,Lake Tinabury,76051
116,116,380,"26292 Mckenzie Landing
Munozshire, RI 57975",Rhode Island,Lake Joseph,91402
117,117,1118,"3441 Amber Crest
Joyceview, MD 08539",Alaska,Palmershire,98248
118,118,1434,"544 Savannah Plaza Apt. 068
Lake Donnahaven, NM 09827",New Jersey,Catherinefurt,80368
119,119,531,"9699 Cheryl Key Suite 205
North David, TX 56711",Mississippi,Raymondfort,73509
120,120,239,"93398 Miller Well Apt. 460
Carlhaven, DC 01748",Delaware,Webbstad,46860
121,121,115,"404 Moon Locks Suite 499
West Thomasfort, SD 80731",Montana,Fowlermouth,26423
122,122,143,"08516 Sandra Drive
East Christineland, RI 03723",Oklahoma,Clarkland,50441
123,123,245,"231 Brian Glens
East Derrick, CT 73546",Connecticut,South John,50650
124,124,669,"91217 James Squares Suite 388
Port Angelashire, ME 15291",Oregon,Jeremyburgh,72276
125,125,241,"431 Courtney Lane Apt. 758
Rodriguezhaven, FL 49302",South Carolina,North April,16147
126,126,1454,"51317 Murphy Mission Suite 591
Lake Michael, OK 72143",Virginia,Alexandraburgh,79558
127,127,1083,"8719 Snow Overpass
Francishaven, PA 57097",Nevada,Tannermouth,43896
128,128,594,"PSC 4372, Box 6965
APO AA 46363",Nevada,New Andrewtown,25358
129,129,108,"2494 Rhodes Street Suite 161
Alexanderland, MD 61139",Massachusetts,Michaelhaven,52383
130,130,1151,"2915 Gomez Manors Suite 748
North Mary, ND 32059",Maryland,New Andrew,28699
131,131,717,"504 Harris Meadow Suite 987
North George, IL 74156",Alaska,Ortegafort,82477
132,132,1113,"4297 Gray Via Apt. 325
West Mary, CO 55427",Oregon,Garciafort,13932
133,133,1342,"06232 Bradley Well Suite 086
East Abigailland, HI 92437",North Carolina,South Leah,79352
134,134,1257,"547 Elliott Expressway Apt. 702
Jessicachester, MD 72597",Maryland,New Ericmouth,36916
135,135,330,"71781 Richard Keys Suite 845
North Manuelstad, MA 68990",Michigan,West Andreaburgh,15606
136,136,471,"407 Hill Mission Suite 400
South Lisa, MN 62113",Pennsylvania,Stevenshire,41990
137,137,548,"336 Williams Brooks Apt. 581
Piercestad, ID 59789",Ohio,South Angelatown,61762
138,138,288,"190 Thomas River Apt. 350
Michaelchester, UT 49829",Delaware,North Emilytown,83291
139,139,280,"70109 Brown Squares
Youngside, UT 17041",New Hampshire,North Sandrafurt,30342
140,140,1286,"638 Maldonado Locks Apt. 464
West Janet, NM 66739",Oklahoma,Port Sarafurt,49277
141,141,355,"0821 Cheryl Spur Apt. 632
Laurenchester, NE 81597",Oregon,Port Crystalborough,40673
142,142,732,"65228 Johnson Station Suite 447
Susanfurt, IN 53145",Wyoming,Christopherstad,87622
