shiiping_address_Id,User_id,Full_address,State,City,Zip_code
1,114,"35567 Samuel Turnpike Apt. 763
South Jessicabury, WY 29274",Maryland,Rossmouth,75466
2,265,"94845 Benjamin Valley
East Emily, OK 29999",Arizona,North Candaceton,28404
3,929,"808 Johnson Squares Suite 618
South Alexander, CA 16161",Connecticut,Haleyshire,18854
4,413,"9941 Nathan Ramp Suite 115
Nelsonview, TX 14744",Arkansas,North Brendamouth,17073
5,65,"4063 Silva Run
Montgomerystad, MI 48630",Montana,Port Brett,27023
6,913,"284 Price Loaf
Deborahtown, NJ 63977",Michigan,Alvarezmouth,47663
7,541,"879 Shaw Parkways Apt. 168
Lake Lisafurt, CT 65100",Wyoming,New Lawrenceberg,61091
8,779,"25079 Peterson Loop
Alvarezmouth, UT 03752",Oklahoma,Richardton,44005
9,840,"438 Tyler Corners
Simmonschester, CT 74235",North Carolina,Whiteborough,36607
10,6,"376 Williams Drive Suite 888
Port Michael, RI 13235",Arkansas,West Nicolasmouth,97197
11,624,"PSC 0609, Box 3771
APO AP 62070",Kansas,Lake Heatherstad,90747
12,655,"36757 Farmer Lights Suite 882
New Nicholas, PA 88509",Louisiana,Sarahstad,26142
13,715,"PSC 1038, Box 9946
APO AA 04491",Delaware,Tinafurt,8790
14,652,"4117 Rebecca Pine
Michaelton, SD 65871",Oklahoma,East Alejandrafurt,567
15,774,"822 Wilson Hill
East Adrienne, LA 15467",Nebraska,Jefffort,76877
16,711,"5546 Spencer Cape Apt. 126
Escobarshire, IA 04401",Arkansas,Jillianborough,41552
17,896,"Unit 2219 Box 6476
DPO AP 65926",Montana,Caldwellchester,72374
18,829,"73625 Julie Junction
Lake Susan, HI 32191",Missouri,Madisonshire,49604
19,244,"627 Victor Row Apt. 071
West Edward, AR 79203",Pennsylvania,North Jamesburgh,79890
20,502,"149 Davis Valley Suite 253
South Charleschester, DE 18081",Pennsylvania,Port Carla,2610
21,96,"35413 Kristy Tunnel
South Heather, MD 91411",Kansas,Harrisonfurt,93762
22,113,"9899 Charles Key
Arielville, RI 38660",Connecticut,South Edwardfort,41100
23,446,"248 Tina Turnpike Suite 759
Port Arielton, AK 66259",Mississippi,Jenniferland,47980
24,45,"2203 Atkins Canyon Suite 867
New Alexander, MD 29574",Kentucky,South Brittany,65103
25,535,"55804 Jared Point Apt. 923
Robertsstad, MS 82490",Ohio,Diazbury,63007
26,417,"25939 Wesley Run
Lake Megan, MI 64466",New Jersey,Olsonville,54524
27,413,"6979 Cassandra Cliffs Suite 992
Jeffreystad, MS 41691",Tennessee,Joshuabury,99368
28,56,"50775 Buchanan Greens
Richardland, WA 36807",Massachusetts,West Lisamouth,25894
29,6,"6273 Peter Rue
Pittmanberg, IA 22293",Mississippi,Hamptonstad,73193
30,823,"56793 Leonard Junctions
Michaelberg, WV 07400",Delaware,Harrishaven,85441
31,638,"09311 Christina Island Apt. 842
Wellschester, CO 27341",Wisconsin,South Craigfort,49650
32,323,"USCGC Rodriguez
FPO AP 28408",Georgia,Lake Mary,21182
33,99,"577 Charles Station
Lake Kurt, NH 81453",Colorado,New Erintown,16346
34,118,"USNV Cunningham
FPO AP 39722",Hawaii,Mathewview,30451
35,67,"9530 Karina Union
West Elizabethchester, WI 97019",Georgia,Michelleberg,53072
36,177,"PSC 0012, Box 0013
APO AP 35134",Mississippi,East Matthewport,91999
37,589,"5482 Cheryl Street
Huntfort, LA 74989",Georgia,Christopherchester,32378
38,64,"6089 Ponce Cliffs
Holdenland, UT 11991",New York,North Kimberly,34536
39,834,"4494 Lozano Brook
West Antonioport, SD 18856",Wisconsin,Bellburgh,12374
40,424,"USNS Carter
FPO AA 73587",Tennessee,Lake Luisville,35879
41,661,"PSC 8287, Box 8261
APO AE 98974",North Dakota,Buckleyberg,5152
42,25,"0324 Richard Summit Suite 443
Debrabury, DE 45676",New Mexico,Lake Tammy,57363
43,974,"3443 Donna Flats Suite 110
West Susan, NE 53327",Massachusetts,Jeffreymouth,83098
44,959,"7641 Jackson Ports Suite 709
Rickyborough, GA 89260",Kentucky,Jenniferview,83120
45,526,"139 Castillo Course
Wilsonmouth, SC 37620",Minnesota,South Richardhaven,1529
46,629,"573 Burke Landing Apt. 959
Raymouth, AL 32637",Michigan,East Amanda,25997
47,909,"7900 Brown Mall Apt. 619
North Carlyberg, OH 63206",Vermont,Watsonhaven,40670
48,537,"40183 Lauren Brooks Apt. 740
Gordonmouth, OK 85216",New York,Joshualand,60529
49,936,"717 Larry Flat Suite 760
North Susan, WY 93084",Maine,Wilsonstad,6717
50,755,"6084 James Manor
Ryantown, NJ 09637",New Jersey,Ewingshire,30994
51,191,"3161 Anthony Rapid
Harveyland, NM 43109",North Carolina,South Deborah,82022
52,169,"8974 Bruce Greens Apt. 325
Dudleyhaven, MO 18326",Maryland,Port Paulshire,81889
53,80,"715 Jason Park
Johnmouth, MD 36783",Virginia,North Lauren,50943
54,692,"9751 Patel Track
West Michaelside, WA 41842",Mississippi,East Katherine,49646
55,275,"01092 Heather Ways
West Brooketon, VA 14693",Florida,Port Amanda,53056
56,77,"073 Campbell Street Suite 084
East Hollyfort, WV 33694",Washington,Patriciaport,91601
57,19,"4992 Rivera Pike Suite 345
North Amy, MS 64543",Pennsylvania,Scottfort,13276
58,64,"Unit 4780 Box 8525
DPO AA 79931",North Carolina,Williamsfort,28850
59,427,"3610 Gardner Vista
Timothyshire, MD 78628",Massachusetts,Morgantown,78896
60,152,"3389 Porter Village Apt. 400
Jeffreymouth, ND 50289",New Hampshire,East Kristinburgh,40201
