user_Id,Role_id,Full_name,Email,Password,Phone_number,Status,CampaignID
1,1,Thomas Baldwin,jasminemorris@hotmail.com,X^6Oy6Zut(,(939)735-5247,block,51
2,2,Joshua Rogers,aimee64@gmail.com,$T4NGkEu@9,(301)486-4269,active,144
3,1,Matthew Hanna,taylordaniel@hotmail.com,+5SwsKv3Ll,(974)616-2175,block,110
4,2,Christopher Reeves,ronaldmartin@velasquez-chan.net,lz_2RR5dj@,+1-537-075-7803x98236,active,45
5,2,Ashley Smith,azhang@santos.org,T^cf8OqVn),(456)556-2376,inactive,88
6,1,Emily Andrade,john19@yahoo.com,&7X!WKsg+g,534-981-6138x2561,inactive,88
7,1,Dylan Green,melanie70@yahoo.com,b0S(qchy+S,263-357-7348,block,75
8,2,Emily Mccormick,wavery@yahoo.com,r1q3GKPa!D,-1895,active,162
9,1,Megan Brown,juanhorn@yahoo.com,yK7eHnyR$_,(917)833-5780,active,75
10,1,Amber Salazar,bfoley@gmail.com,_+lChlg@4g,-2883,inactive,179
11,1,Glen Stokes,rwilliams@hotmail.com,A7J^r^b!+0,001-473-963-7121,block,14
12,2,Kelly Hernandez DDS,william87@hotmail.com,e+8CXwv(3j,800.743.5925x8502,active,72
13,2,Gregory Acosta,bowmanmichael@farmer.biz,^0sNrl(1^F,131-085-0511x244,block,197
14,1,Denise Levy,mortonerica@escobar.com,g+4Vk2HjUi,(226)065-0804x179,active,179
15,1,Theresa Mason,ryan18@gmail.com,5jU2DQDL%q,+1-131-080-1296x920,inactive,175
16,1,Jessica Miller,patriciahutchinson@terry.com,oN*^M1UskQ,5215205852,block,19
17,1,Barbara Deleon,ohunter@hotmail.com,*a2DP67j(9,(321)206-8323,block,133
18,1,Stephanie Compton,dhudson@gmail.com,T^e0dq9uBU,+1-253-071-5012x579,block,136
19,2,Anthony Rivera,caroline05@pierce.com,@eUNAt*y8S,(783)419-0046,active,27
20,2,Hannah Brown DDS,gonzalezhannah@johnson-nguyen.com,(!HtXr713z,8722513131,block,175
21,1,Chad Huffman,james25@yahoo.com,F77y$Yv*_1,038.067.2451x019,inactive,181
22,1,Christopher Logan,jennifer35@dudley-fisher.org,1#in7AEi@S,-1936,active,15
23,2,Jerry Logan,smithheather@fields-diaz.com,f3&6HZQ4)a,001-393-831-6789x9271,block,113
24,2,Shannon Smith,bradley11@pearson.com,h$89K4x1vL,734-754-5478x904,inactive,65
25,2,Cynthia Robinson,melodysmith@hotmail.com,+@*tFtB^60,(204)062-1671x177,block,109
26,1,Cathy Holloway,martinezpeter@gmail.com,zts82fAa(L,595.058.0706x600,inactive,70
27,1,Joshua Harper,rileymichelle@chandler.com,Yd7!7EgxKZ,(160)992-4978x32645,inactive,36
28,2,Raymond Christensen,fjohnson@gmail.com,dc6MRIVw#R,001-771-535-9074,active,116
29,2,Julia Smith,moraedward@blake-aguilar.com,_xv(LUOf1_,001-557-609-9374,active,12
30,2,John Jimenez,amandataylor@yahoo.com,qA7uU^OuF_,463.893.3018x2286,inactive,121
31,1,Tiffany Summers,jenny59@zimmerman.com,k23AxLq4f(,(093)150-7964x934,active,11
